Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
Vishudh,Women Straight Jacquard Kurta With Pant & Dupatta,1663.0,5199.0,3.3,6.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-straight-jacquard-kurta-with-pant--dupatta/32086511/buy
Kimayra,Women Ethnic Motifs Printed Cotton Anarkali Kurta with Trousers & Dupatta,1399.0,3599.0,4.1,777.0,Women Clothing,https://www.myntra.com/kurta-sets/kimayra/kimayra-women-ethnic-motifs-printed-cotton-anarkali-kurta-with-trousers--dupatta/33729915/buy
Royal Export,Floral Embroidered Regular Thread Work Straight Kurta with Palazzos & Dupatta,1117.0,5999.0,4.0,1.0,Women Clothing,https://www.myntra.com/kurta-sets/royal+export/royal-export-floral-embroidered-regular-thread-work-straight-kurta-with-palazzos--dupatta/31803818/buy
Vishudh,Women Ethnic Motifs Embroidered Regular Thread Work Kurta with Trousers & With Dupatta,1818.0,5349.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-ethnic-motifs-embroidered-regular-thread-work-kurta-with-trousers--with-dupatta/32977410/buy
Gosriki,Women Kurta with Trousers & Dupatta set,825.0,4345.0,3.8,6.0,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-women-kurta-with-trousers--dupatta-set/31079027/buy
Sangria,Floral Yoke Printed Mirror Work Kurta,699.0,2499.0,4.4,2.0,Women Clothing,https://www.myntra.com/kurtas/sangria/sangria-floral-yoke-printed-mirror-work-kurta/22057794/buy
Vishudh,Women Solid Viscose Rayon Kurta with Trouser,789.0,2099.0,4.1,273.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-solid-viscose-rayon-kurta-with-trouser/18263672/buy
Bkapparels,Women V-Neck Floral Printed Kurta,499.0,999.0,4.2,198.0,Women Clothing,https://www.myntra.com/kurtas/bkapparels/bkapparels-women-v-neck-floral-printed-kurta/35356101/buy
Ginni Arora Label,Women Purple Printed Regular Pure Cotton Kurta with Trousers & With Dupatta,1448.0,3599.0,4.2,2.0,Women Clothing,https://www.myntra.com/kurta-sets/ginni+arora+label/ginni-arora-label-women-purple-printed-regular-pure-cotton-kurta-with-trousers--with-dupatta/15835836/buy
Vishudh,Women Embroidered Straight Kurta with Regular Pants and Organza Dupatta,1697.0,4849.0,4.0,8.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-embroidered-straight-kurta-with-regular-pants-and-organza-dupatta/32360543/buy
Rimeline,Floral Printed V-Neck Pure Cotton Straight Kurtas,619.0,1999.0,4.4,1.0,Women Clothing,https://www.myntra.com/kurtas/rimeline/rimeline-floral-printed-v-neck-pure-cotton-straight-kurtas/32398898/buy
Sangria,Floral Printed Pure Cotton Straight Kurta With Trouser & Dupatta,1484.0,5499.0,4.2,4.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-floral-printed-pure-cotton-straight-kurta-with-trouser--dupatta/25058842/buy
Janasya,Floral Embroidered Keyhole Neck Thread Work Kurta with Trousers & Dupatta,1899.0,5329.0,4.2,548.0,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-floral-embroidered-keyhole-neck-thread-work-kurta-with-trousers--dupatta/28005922/buy
Aaghnya,Women Blue Kurta Sets,929.0,4345.0,3.0,227.0,Women Clothing,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-blue-kurta-sets/35446515/buy
Sangria,Embroidered V-Neck Mirror work Kaftan With Trousers,1349.0,4999.0,4.1,1.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-embroidered--v-neck-mirror-work-kaftan-with-trousers/30447928/buy
Vishudh,Women Floral Viscose Rayon Kurta with Trouser with Dupatta,989.0,2799.0,3.4,292.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-floral-viscose-rayon-kurta-with-trouser-with-dupatta/18261856/buy
Gosriki,Thread Work Anarkali Kurta With Trouser & Dupatta,869.0,4345.0,3.2,1.0,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-thread-work-anarkali-kurta-with-trouser--dupatta/31456363/buy
Kalini,Women Ethnic Motifs Printed Floral Anarkali Kurta,924.0,3299.0,3.9,463.0,Women Clothing,https://www.myntra.com/kurtas/kalini/kalini-women-ethnic-motifs-printed-floral-anarkali-kurta/27900446/buy
