Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
KIMAYRA,Women Ethnic Motifs Printed Cotton Anarkali Kurta with Trousers & Dupatta,1399,3599,4.1,777,Women Clothing,https://www.myntra.com/kurta-sets/kimayra/kimayra-women-ethnic-motifs-printed-cotton-anarkali-kurta-with-trousers--dupatta/33729915/buy
Royal Export,Floral Embroidered Regular Thread Work Straight Kurta with Palazzos & Dupatta,1117,5999,4,1,Women Clothing,https://www.myntra.com/kurta-sets/royal+export/royal-export-floral-embroidered-regular-thread-work-straight-kurta-with-palazzos--dupatta/31803818/buy
Vishudh,Women Ethnic Motifs Embroidered Regular Thread Work Kurta with Trousers & With Dupatta,1818,5349,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-ethnic-motifs-embroidered-regular-thread-work-kurta-with-trousers--with-dupatta/32977410/buy
GoSriKi,Women Kurta with Trousers & Dupatta set,825,4345,3.8,6,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-women-kurta-with-trousers--dupatta-set/31079027/buy
Sangria,Floral Yoke Printed Mirror Work Kurta,699,2499,4.4,2,Women Clothing,https://www.myntra.com/kurtas/sangria/sangria-floral-yoke-printed-mirror-work-kurta/22057794/buy
Vishudh,Women Solid Viscose Rayon Kurta with Trouser,789,2099,4.1,273,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-solid-viscose-rayon-kurta-with-trouser/18263672/buy
BKApparels,Women V-Neck Floral Printed Kurta,499,999,4.2,198,Women Clothing,https://www.myntra.com/kurtas/bkapparels/bkapparels-women-v-neck-floral-printed-kurta/35356101/buy
Ginni Arora Label,Women Purple Printed Regular Pure Cotton Kurta with Trousers & With Dupatta,1448,3599,4.2,2,Women Clothing,https://www.myntra.com/kurta-sets/ginni+arora+label/ginni-arora-label-women-purple-printed-regular-pure-cotton-kurta-with-trousers--with-dupatta/15835836/buy
Vishudh,Women Embroidered Straight Kurta with Regular Pants and Organza Dupatta,1697,4849,4,8,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-embroidered-straight-kurta-with-regular-pants-and-organza-dupatta/32360543/buy
Rimeline,Floral Printed V-Neck Pure Cotton Straight Kurtas,619,1999,4.4,1,Women Clothing,https://www.myntra.com/kurtas/rimeline/rimeline-floral-printed-v-neck-pure-cotton-straight-kurtas/32398898/buy
Sangria,Floral Printed Pure Cotton Straight Kurta With Trouser & Dupatta,1484,5499,4.2,4,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-floral-printed-pure-cotton-straight-kurta-with-trouser--dupatta/25058842/buy
Janasya,Floral Embroidered Keyhole Neck Thread Work Kurta with Trousers & Dupatta,1899,5329,4.2,548,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-floral-embroidered-keyhole-neck-thread-work-kurta-with-trousers--dupatta/28005922/buy
Aaghnya,Women Blue Kurta Sets,929,4345,3,227,Women Clothing,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-blue-kurta-sets/35446515/buy
Sangria,Embroidered V-Neck Mirror work Kaftan With Trousers,1349,4999,4.1,1,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-embroidered--v-neck-mirror-work-kaftan-with-trousers/30447928/buy
Vishudh,Women Floral Viscose Rayon Kurta with Trouser with Dupatta,989,2799,3.4,292,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-floral-viscose-rayon-kurta-with-trouser-with-dupatta/18261856/buy
GoSriKi,Thread Work Anarkali Kurta With Trouser & Dupatta,869,4345,3.2,1,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-thread-work-anarkali-kurta-with-trouser--dupatta/31456363/buy
KALINI,Women Ethnic Motifs Printed Floral Anarkali Kurta,924,3299,3.9,463,Women Clothing,https://www.myntra.com/kurtas/kalini/kalini-women-ethnic-motifs-printed-floral-anarkali-kurta/27900446/buy
Vishudh,Blue Printed Yoke Design Thread Work Straight Kurta with Trouser & Dupatta,1544,5149,4.8,5,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-blue-printed-yoke-design-thread-work-straight-kurta-with-trouser--dupatta/28152826/buy
Khushal K,Women Embroidered A-Line Kurta with Palazzos & Dupatta,1609,5749,4.7,51,Women Clothing,https://www.myntra.com/kurta-sets/khushal+k/khushal-k-women-embroidered-a-line-kurta-with-palazzos--dupatta/35891156/buy
PRISCA,Floral Printed V-Neck Straight Pure Cotton Kurta With Trousers,599,1299,4,597,Women Clothing,https://www.myntra.com/kurta-sets/prisca/prisca-floral-printed-v-neck-straight-pure-cotton-kurta-with-trousers/34234990/buy
Brownverse,Geometric Yoke Design Thread Work Straight Kurta With Pyjama,1169,2999,4.6,5,Women Clothing,https://www.myntra.com/kurta-sets/brownverse/brownverse-geometric-yoke-design-thread-work-straight-kurta-with-pyjama/30715615/buy
Amayra,Women White Kurta Sets,999,2999,3.1,16,Women Clothing,https://www.myntra.com/kurta-sets/amayra/amayra-women-white-kurta-sets/35292799/buy
KALINI,Floral Printed Straight Kurta With Trousers & Dupatta,781,3399,3.8,1,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-straight-kurta-with-trousers--dupatta/30259660/buy
Vishudh,Mandarin Collar Regular Kurta with Trousers & Dupatta,1091,3899,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-mandarin-collar-regular-kurta-with-trousers--dupatta/26851990/buy
anayna,Geometric Printed V-Neck Pure Cotton Straight Kurta,498,1998,4.2,1,Women Clothing,https://www.myntra.com/kurtas/anayna/anayna-geometric-printed-v-neck-pure-cotton-straight-kurta/30494195/buy
Larqi,Floral Embroidered Sequinned Pure Cotton Kurta With Trousers & Dupatta,1985,3970,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-floral-embroidered-sequinned-pure-cotton-kurta-with-trousers--dupatta/36198744/buy
KALINI,Floral Printed Anarkali Pure Cotton Kurta with Trousers & Dupatta,1243,7299,4.4,18,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-anarkali-pure-cotton-kurta-with-trousers--dupatta/25234310/buy
PHYSIL,Women Ethnic Motifs Printed Pure Cotton V-Neck A-Line Kurta,499,1499,3.7,88,Women Clothing,https://www.myntra.com/kurtas/physil/physil-women-ethnic-motifs-printed-pure-cotton-v-neck-a-line-kurta/35197961/buy
Vishudh,Green Printed Yoke Design Thread Work Straight Kurta with Trouser & Dupatta,1802,5149,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-green-printed-yoke-design-thread-work-straight-kurta-with-trouser--dupatta/28152842/buy
